inchikey,name,evidence,moa,descriptions,links
KBOPZPXVLCULAV-UHFFFAOYSA-N,Mesalazine,0,5,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).",https://www.nature.com/articles/s41421-020-0153-3;;
XFCLJVABOIYOMF-QPLCGJKRSA-N,Toremifene;Toremifene citrate,1,2,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).;Effective against SARS-CoV MERS-CoV in vitro / inhibits EVOB entry in cells / identified in network screening",https://www.nature.com/articles/s41421-020-0153-3;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136000/;;https://stm.sciencemag.org/content/5/190/190ra79;;https://www.nature.com/articles/s41421-020-0153-3
JUKPWJGBANNWMW-VWBFHTRKSA-N,Eplerenone;Eplerenone,1,5,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).;Prolongs survival, tested in viral myocarditis in mice",https://www.nature.com/articles/s41421-020-0153-3;https://www.ncbi.nlm.nih.gov/pubmed/19213804;;;;
AHOUBRCZNHFOSL-YOEHRIQHSA-N,Paroxetine,0,0,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).",https://www.nature.com/articles/s41421-020-0153-3;;
QFJCIRLUMZQUOT-HPLJOQBZSA-N,Sirolimus;Sirolimus;Rapamycin;Rapamycin,2,5,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).;MERS-CoV 60% decreased infection in vitro / improved clinical outcome H1N1;Inhibits MERS replication in vitro;Drugs from Sars-Cov-2-Human PPI map",https://www.nature.com/articles/s41421-020-0153-3;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5733787;https://www.ncbi.nlm.nih.gov/pubmed/25487801;https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;https://www.ncbi.nlm.nih.gov/pubmed/24105455;;;;;;
RJURFGZVJUQBHK-IIXSONLDSA-N,Dactinomycin,0,0,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).",https://www.nature.com/articles/s41421-020-0153-3;;
YOSHYTLCDANDAN-UHFFFAOYSA-N,Ibesartan;Irbesartan,1,2,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).;identified in network screening",https://www.nature.com/articles/s41421-020-0153-3;https://www.nature.com/articles/s41421-020-0153-3;;;;
GLVAUDGFNGKCSF-UHFFFAOYSA-N,Mercaptopurine,0,5,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).",https://www.nature.com/articles/s41421-020-0153-3;;
DRLFMBDRBRZALE-UHFFFAOYSA-N,Melatonin;Melatonin,1,5,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).;Prolongs survival due to anti inflammation (not virus related)",https://www.nature.com/articles/s41421-020-0153-3;https://www.nature.com/articles/s41421-020-0153-3;;;;
GPKJTRJOBQGKQK-UHFFFAOYSA-N,Quinacrine,0,2,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).",https://www.nature.com/articles/s41421-020-0153-3;;
OGHNVEJMJSYVRP-UHFFFAOYSA-N,Carvedilol,0,5,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).",https://www.nature.com/articles/s41421-020-0153-3;;
IAKHMKGGTNLKSZ-INIZCTEOSA-N,Colchicine,0,0,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).",https://www.nature.com/articles/s41421-020-0153-3;;
DSSYKIVIOFKYAU-UHFFFAOYSA-N,Camphor,0,2,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).",https://www.nature.com/articles/s41421-020-0153-3;;
WKRLQDKEXYKHJB-HFTRVMKXSA-N,Equilin;Equilin,1,2,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).;inhibits EVOB entry in cells / identified in network screening",https://www.nature.com/articles/s41421-020-0153-3;https://stm.sciencemag.org/content/5/190/190ra79;;https://www.nature.com/articles/s41421-020-0153-3;;
DLZUBMGMHUNDLF-UHFFFAOYSA-N,Oxymetholone,0,0,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).",https://www.nature.com/articles/s41421-020-0153-3;;
RHMXXJGYXNZAPX-UHFFFAOYSA-N,Emodin,0,0,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).",https://www.nature.com/articles/s41421-020-0153-3;;
ZCGNOVWYSGBHAU-UHFFFAOYSA-N,6-fluoro-3-hydroxy-2-pyrazinecarboxamide;Favilavir;Favipiravir;favipiravir,3,4,"Developed as antiinfluenza;;Increases 7-day recovery rate in patients with COVID19;COVID-19 patients untreated with antiviral previously, favipiravir can be considered as a preferred treatment",https://www.ncbi.nlm.nih.gov/pubmed/28769016;https://www.upi.com/Health_News/2020/02/17/China-approves-antiviral-favilavir-to-treat-coronavirus/5291581953892/;https://www.medrxiv.org/content/10.1101/2020.03.17.20037432v1;https://www.medrxiv.org/content/10.1101/2020.03.17.20037432v1;https://www.dailysabah.com/life/health/japanese-drug-favipiravir-proving-effective-against-covid-19-in-as-little-as-4-days;;https://www.sciencedirect.com/science/article/pii/S2095809920300631?via%3Dihub;;;;;
WHTVZRBIWZFKQO-UHFFFAOYSA-N,Chloroquine diphosphate;Chloroquine,3,3,Anti SARS-CoV and MERS-CoV in vitro;Papain-like protease inhibitors found by docking using Homology modeling from SARS CoV. Drugs found through VS of FDA aproved drugs.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136071;https://chemrxiv.org/articles/Potential_Inhibitors_Against_Papain-like_Protease_of_Novel_Coronavirus_COVID-19_from_FDA_Approved_Drugs/11860011/16;https://www.sciencedirect.com/science/article/pii/S0883944120303907;;https://www.ncbi.nlm.nih.gov/pubmed/32074550;
RDOIQAHITMMDAJ-UHFFFAOYSA-N,Loperamide,1,0,Anti SARS-CoV and MERS-CoV in vitro,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5733787/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136071/;
KJHKTHWMRKYKJE-SUGCFTRWSA-N,Used for MERS clinically / No effect in clinical trial for Covid19;Lopinavir,3,3,"Anti SARS-CoV and MERS-CoV in vitro / NO EFFECT IN CLINICAL TRIAL;HIV drug. Combination of Lopinavir, ritonavir and interferon beta is being evaluated in humans",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136071/;https://www.nature.com/articles/s41467-019-13940-6;https://www.nejm.org/doi/full/10.1056/NEJMoa2001282;;;
ZPEIMTDSQAKGNT-UHFFFAOYSA-N,Chlorpromazine hydrochloride,1,2,Effective against SARS-CoV and MERS-CoV in vitro,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136000/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136071/;
XSCGXQMFQXDFCW-UHFFFAOYSA-N,Triflupromazine hydrochloride,1,2,Effective against SARS-CoV and MERS-CoV in vitro,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136000/;;
KTUFNOKKBVMGRW-UHFFFAOYSA-N,Imatinib mesylate,1,1,Effective against SARS-CoV and MERS-CoV in vitro,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136000/;https://jvi.asm.org/content/90/19/8924;
ZBNZXTGUTAYRHI-UHFFFAOYSA-N,Dasatinib,1,1,Effective against SARS-CoV and MERS-CoV in vitro,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136000/;;
SDUQYLNIPVEERB-QPPQHZFASA-N,Gemcitabine hydrochloride,1,1,Effective against SARS-CoV and MERS-CoV in vitro,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136000/;;
BJNLLBUOHPVGFT-UHFFFAOYSA-N,Teicoplanin,1,2,Blocks cell entry of Covid-19 in vitro,https://www.biorxiv.org/content/10.1101/2020.02.05.935387v1.abstract;https://www.ncbi.nlm.nih.gov/pubmed/30170320;
IWUCXVSUMQZMFG-AFCXAGJDSA-N,Ribavirin;Ribavirin,3,4,Combined with IFNalpha improves MERS-Cov;Drugs from Sars-Cov-2-Human PPI map,https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(14)70920-X/fulltext;https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;;;
JNTOCHDNEULJHD-UHFFFAOYSA-N,Penciclovir,2,4,Used in Herpex treatment,https://pubchem.ncbi.nlm.nih.gov/compound/Penciclovir;;
AMFDITJFBUXZQN-KUBHLMPHSA-N,Galidesivir;BCX4430 (Immucillin-A),1,4,"High efficacy in vitro for filoviruses, under clinical trials;inhibition of virus proliferation in cell culture assays using a Vero-E6 cell line infected with MERS-CoV",https://www.ncbi.nlm.nih.gov/pubmed/24590073;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4937725/;;;;
AUZONCFQVSMFAP-UHFFFAOYSA-N,Disulfiram;Disulfiram,1,3,In vitro inhibition of SARS and MERS enzymes;Mpro (Viral Main proteinase) inhibitors found though VS + Enzimolgy tests ,https://www.ncbi.nlm.nih.gov/pubmed/29289665;https://www.jstage.jst.go.jp/article/ddt/14/1/14_2020.01012/_pdf/-char/en;;;;
NCDNCNXCDXHOMX-XGKFQTDJSA-N,Ritonavir,-1,3,Used for MERS clinically / No effect in clinical trial for Covid19,https://www.nejm.org/doi/full/10.1056/NEJMoa2001282;https://trialsjournal.biomedcentral.com/articles/10.1186/s13063-019-3846-x;
CJBJHOAVZSMMDJ-UHFFFAOYSA-N,Darunavir;Darunavir,1,3,Not clear if clinical trial ongoing;Mpro (Viral Main proteinase) inhibitors found though VS + Enzimolgy tests ,https://www.pharmaceutical-technology.com/news/jj-janssen-darunavir-coronavirus/;https://www.jstage.jst.go.jp/article/ddt/14/1/14_2020.01012/_pdf/-char/en;;;;
VSZGPKBBMSAYNT-RRFJBIMHSA-N,Oseltamivir,3,0,"Ongoing trial, used for influenza A and B",https://laegemiddelstyrelsen.dk/da/nyheder/temaer/ny-coronavirus-covid-19/~/media/5B83D25935DF43A38FF823E24604AC36.ashx;;
MQQNFDZXWVTQEH-UHFFFAOYSA-N,Nafamostat,1,3,"effective against MERS, COVID19",https://www.nature.com/articles/s41422-020-0282-0;;
LUKBXSAWLPMMSZ-OWOJBTEDSA-N,Resveratrol,1,0,In principle inhibits MERS infection...,https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-017-2253-8;;
KCFYEAOKVJSACF-UHFFFAOYSA-N,Umifenovir;arbidol,3,2,"Used in influenza treatment, only approved in Russia, clinical assays for COVID 19 ongoing;COVID-19 patients untreated with antiviral previously, favipiravir can be considered as a preferred treatment",https://pubmed.ncbi.nlm.nih.gov/15266832/;https://www.medrxiv.org/content/10.1101/2020.03.17.20037432v1;;;;
XEEQGYMUWCZPDN-DOMZBBRYSA-N,Mefloquine;Mefloquine,1,2,Effective against MERS and SARS in vitro;Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136000/;https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html;;;;
OVCDSSHSILBFBN-UHFFFAOYSA-N,Amodiaquine;Amodiaquine,2,2,Effective against MERS and SARS in vitro / used in EBOLa;Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136000/;https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6934550/;;;
UYNVMODNBIQBMV-UHFFFAOYSA-N,Ifenprodil (maybe enters clinical trial),3,5,Improves survival of H5N1 infected mice,https://www.ncbi.nlm.nih.gov/pubmed/31822599;;
BSPZFJDYQHDZNR-BOSXTWCSSA-N,GC376,1,3,Cures a coronavirus-like disease in felines,https://www.ncbi.nlm.nih.gov/pubmed/27027316;;
YQNQNVDNTFHQSW-UHFFFAOYSA-N,Nitazoxanide,3,1,"Induces interferon production, works in influenza",https://www.ncbi.nlm.nih.gov/pubmed/25108173;;
PMATZTZNYRCHOR-CGLBZJNRSA-N,Cyclosporine A;Cyclosporine,2,5,Reduces MERS infection in human in vitro ex vivo;Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx,https://www.ncbi.nlm.nih.gov/pubmed/29772254;https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html;https://www.ncbi.nlm.nih.gov/pubmed/23620378;;;
OLROWHGDTNFZBH-XEMWPYQTSA-N,Alisporivir,1,0,Prevents in vitro MERS/SARS infection but not in mouse model,https://www.ncbi.nlm.nih.gov/pubmed/27840112;;
CYOHGALHFOKKQC-UHFFFAOYSA-N,Selumetinib,1,1,Inhibits MERS replication in vitro,https://www.ncbi.nlm.nih.gov/pubmed/25487801;;
LIRYPHYGHXZJBZ-UHFFFAOYSA-N,Trametinib,1,1,Inhibits MERS replication in vitro,https://www.ncbi.nlm.nih.gov/pubmed/25487801;;
OUKYUETWWIPKQR-UHFFFAOYSA-N,Saracatinib,1,1,Inhibits MERS replication in vitro,https://www.ncbi.nlm.nih.gov/pubmed/29795047;;
XASIMHXSUQUHLV-UHFFFAOYSA-N,Camostat mesylate;Camostat,1,2,Reduce SARS-Cov2 infection in Calu2 cells.;Drugs from Sars-Cov-2-Human PPI map,https://www.cell.com/cell/fulltext/S0092-8674(20)30229-4;https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;;;
SRVFFFJZQVENJC-IHRRRGAJSA-N,E-64d,1,2,Reduce SARS-2-S infection in caco2 and 293T. No data for SARS-Cov2,https://www.cell.com/cell/fulltext/S0092-8674(20)30229-4;;
LUKZNWIVRBCLON-GXOBDPJESA-N,Ciclesonide;Ciclesonide,3,5,very small clinical trial with positive outcome;Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx,https://www3.nhk.or.jp/nhkworld/en/news/20200303_20/;https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html;;;;
RJMUSRYZPJIFPJ-UHFFFAOYSA-N,Niclosamide,1,1,"MoA: inhibits SKP2 enzyme, tested in Vero cells *BioArx / Effect validated for Sars-CoV in 2003",https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html;;
UUSZLLQJYRSZIS-LXNNNBEUSA-N,Aplidin,1,1,"Pharmamar. Preclinical results on HCoV-229E, at nM range. Unpublished",http://www.pmfarma.es/noticias/28280-pharmamar-anuncia-resultados-positivos-de-aplidin-contra-el-coronavirus-hcov-229e.html;;
MPMFCABZENCRHV-UHFFFAOYSA-N,Tilorone,0,5,Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx,https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html;;
MYEJFUXQJGHEQK-ALRJYLEOSA-N,Proscillaridin,0,0,Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx,https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html;;
WDJUZGPOPHTGOT-XUDUSOBPSA-N,Digitoxin,0,0,Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx,https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html;;
LTMHDMANZUZIPE-PUGKRICDSA-N,Digoxin,0,0,Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx,https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html;;
ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene,0,3,Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx,https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html;;
DOMWKUIIPQCAJU-LJHIYBGHSA-N,Hydroxyprogesterone caproate,0,0,Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx,https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html;;
KQXDHUJYNAXLNZ-XQSDOZFQSA-N,Salinomycin,0,0,Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx,https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html;;
LPMXVESGRSUGHW-HBYQJFLCSA-N,Ouabain,0,0,Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx,https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html;;
YVPXVXANRNDGTA-WDYNHAJCSA-N,Cepharanthine,0,0,Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx,https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html;;
JYWIYHUXVMAGLG-UHFFFAOYSA-N,Oxyclozanide,0,0,Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx,https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html;;
