Identifier	Drug Name	SMILES	Evidence	Experimental evidence	MoA code	Potential MoA	Annotator	Reference	Reference (2)	Reference (3)
cov075	Rapamycin	C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC	1	Inhibits MERS replication in vitro	1	Host factor	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pubmed/25487801		
cov076	Saracatinib	CN1CCN(CC1)CCOC2=CC3=C(C(=C2)OC4CCOCC4)C(=NC=N3)NC5=C(C=CC6=C5OCO6)Cl	1	Inhibits MERS replication in vitro	1	Host factor	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pubmed/29795047		
cov077	Favipiravir	C1=C(N=C(C(=O)N1)C(=O)N)F	3	Increases 7-day recovery rate in patients with COVID19	4	RNA transcription or replication	Patrick	https://www.medrxiv.org/content/10.1101/2020.03.17.20037432v1	https://www.sciencedirect.com/science/article/pii/S2095809920300631?via%3Dihub	
cov078	Remdesivir	CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4	2	Same Moa than Favipiravir. Effective in mice and cell lines. CLinical trials ongoing	4	RNA transcription or replication	Patrick	https://www.nature.com/articles/s41422-020-0282-0		
cov079	Camostat mesylate	O=C(C1=CC=C(NC(N)=N)C=C1)OC2=CC=C(CC(OCC(N(C)C)=O)=O)C=C2.CS(=O)(O)=O	1	Reduce SARS-Cov2 infection in Calu2 cells.	2	Viral entry	Adria	https://www.cell.com/cell/fulltext/S0092-8674(20)30229-4		
cov080	E-64d	O=[C@@](N[C@H]([C@](NCCC(C)C)=O)CC(C)C)[C@H]1O[C@@H]1C(OCC)=O 	1	Reduce SARS-2-S infection in caco2 and 293T. No data for SARS-Cov2	2	Viral entry	Adria	https://www.cell.com/cell/fulltext/S0092-8674(20)30229-4		
cov111	Ciclesonide	CC(C)C(=O)OCC(=O)[C@@]12[C@@H](C[C@@H]3[C@@]1(C[C@@H]([C@H]4[C@H]3CCC5=CC(=O)C=C[C@]45C)O)C)O[C@H](O2)C6CCCCC6	3	very small clinical trial with positive outcome	5	Immunomodulatory	Miquel/Gemma	https://www3.nhk.or.jp/nhkworld/en/news/20200303_20/		
cov112	Lopinavir	CC1=C(C(=CC=C1)C)OCC(=O)N[C@@H](CC2=CC=CC=C2)[C@H](C[C@H](CC3=CC=CC=C3)NC(=O)[C@H](C(C)C)N4CCCNC4=O)O	3	HIV drug. Combination of Lopinavir, ritonavir and interferon beta is being evaluated in humans	3	Protease inhibitor	Victor	https://www.nature.com/articles/s41467-019-13940-6		
cov116	Tocilizumab		3	inhibitor of the receptor of interleukin 6 (IL-6), a pro-inflammatory cytokine	5	Immunomodulatory	Victor	https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30628-0/fulltext		
cov228	EIDD-2801		2	Clinical trials for Influenza, now considering for COVID	4	RNA transcription or replication	Edu	https://news.emory.edu/stories/2020/03/coronavirus_drive_ridgeback/index.html	https://www.ncbi.nlm.nih.gov/pubmed/31645453	
cov081	Beta-D-N4-hydroxycytidine		1	MoA: lethal mutagenesis, effective in vitro against SARS-Cov2 and in mice against SARS-CoV and MERS *BioArx	4	RNA transcription or replication	Miquel/Gemma	https://www.biorxiv.org/content/10.1101/2020.03.19.997890v1		
cov082	Niclosamide	C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O	1	MoA: inhibits SKP2 enzyme, tested in Vero cells *BioArx / Effect validated for Sars-CoV in 2003	1	Host factor	Miquel/Gemma	https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html		
cov113	favipiravir	C1=C(N=C(C(=O)N1)C(=O)N)F	1	COVID-19 patients untreated with antiviral previously, favipiravir can be considered as a preferred treatment	4	RNA transcription or replication	Martino	https://www.medrxiv.org/content/10.1101/2020.03.17.20037432v1		
cov199	BCX4430 (Immucillin-A)	O[C@H]1[C@H](C2=CNC3=C2N=CN=C3N)N[C@H](CO)[C@H]1O	1	inhibition of virus proliferation in cell culture assays using a Vero-E6 cell line infected with MERS-CoV	4	RNA transcription or replication	Isabelle	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4937725/		
cov227	Aplidin	O=C([C@@H](NC([C@@H](C)C([C@@H](OC(C[C@H](O)[C@H](NC([C@@H](NC([C@H](N(C([C@H]1N(C(C(C)=O)=O)CCC1)=O)C)CC(C)C)=O)[C@@H](C)OC([C@H](CC2=CC=C(OC)C=C2)N3C)=O)=O)[C@@H](C)CC)=O)C(C)C)=O)=O)CC(C)C)N4[C@H](C3=O)CCC4	1	Pharmamar. Preclinical results on HCoV-229E, at nM range. Unpublished	1	Host factor	Edu	http://www.pmfarma.es/noticias/28280-pharmamar-anuncia-resultados-positivos-de-aplidin-contra-el-coronavirus-hcov-229e.html		
cov083	Ciclesonide	CC(C)C(=O)OCC(=O)[C@@]12[C@@H](C[C@@H]3[C@@]1(C[C@@H]([C@H]4[C@H]3CCC5=CC(=O)C=C[C@]45C)O)C)O[C@H](O2)C6CCCCC6	0	Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx	0	Unknown	Miquel/Gemma	https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html		
cov084	Tilorone	CCN(CC)CCOC1=CC2=C(C=C1)C3=C(C2=O)C=C(C=C3)OCCN(CC)CC	0	Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx	5	Immunomodulatory	Miquel/Gemma	https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html		
cov085	Cyclosporine	CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C	0	Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx	5	Immunomodulatory	Miquel/Gemma	https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html		
cov086	Mefloquine	C1CCN[C@H](C1)[C@H](C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O	0	Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx	2	Viral entry	Miquel/Gemma	https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html		
cov087	Amodiaquine	CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O	0	Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx	2	Viral entry	Miquel/Gemma	https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html		
cov088	Proscillaridin	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2CC[C@@]3([C@H]4CC[C@@]5([C@H](CC[C@@]5([C@@H]4CCC3=C2)O)C6=COC(=O)C=C6)C)C)O)O)O	0	Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx	0	Unknown	Miquel/Gemma	https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html		
cov089	Digitoxin	C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5CC[C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)C)C)C)O)O	0	Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx	0	Unknown	Miquel/Gemma	https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html		
cov090	Digoxin	C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5C[C@H]([C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)O)C)C)C)O)O	0	Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx	0	Unknown	Miquel/Gemma	https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html		
cov091	Hexachlorophene	C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl	0	Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx	3	Protease inhibitor	Miquel/Gemma	https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html		
cov092	Hydroxyprogesterone caproate	CCCCCC(=O)O[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)C(=O)C	0	Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx	0	Unknown	Miquel/Gemma	https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html		
cov093	Salinomycin	CC[C@H]([C@H]1CC[C@@H]([C@@H](O1)[C@@H](C)[C@@H]([C@H](C)C(=O)[C@H](CC)[C@@H]2[C@H](C[C@H]([C@]3(O2)C=C[C@H]([C@@]4(O3)CC[C@@](O4)(C)[C@H]5CC[C@@]([C@@H](O5)C)(CC)O)O)C)C)O)C)C(=O)O	0	Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx	0	Unknown	Miquel/Gemma	https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html		
cov094	Ouabain	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2C[C@H]([C@@]3([C@@H]4[C@@H](CC[C@@]3(C2)O)[C@]5(CC[C@@H]([C@]5(C[C@H]4O)C)C6=CC(=O)OC6)O)CO)O)O)O)O	0	Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx	0	Unknown	Miquel/Gemma	https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html		
cov095	Cepharanthine	CN1CCC2=CC3=C(C4=C2[C@@H]1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)C[C@@H]7C8=CC(=C(C=C8CCN7C)OC)O4)OC)OCO3	0	Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx	0	Unknown	Miquel/Gemma	https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html		
cov096	Oxyclozanide	C1=C(C=C(C(=C1NC(=O)C2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl)Cl	0	Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx	0	Unknown	Miquel/Gemma	https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html		
cov097	Anidulafungin	CCCCCOC1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=C(C=C3)C(=O)N[C@H]4C[C@H]([C@H](NC(=O)[C@@H]5[C@H]([C@H](CN5C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]6C[C@H](CN6C(=O)[C@@H](NC4=O)[C@@H](C)O)O)[C@@H]([C@H](C7=CC=C(C=C7)O)O)O)[C@@H](C)O)C)O)O)O	0	Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx	0	Unknown	Miquel/Gemma	https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html		
cov098	Gilteritinib	CCC1=C(N=C(C(=N1)C(=O)N)NC2=CC(=C(C=C2)N3CCC(CC3)N4CCN(CC4)C)OC)NC5CCOCC5	0	Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx	1	Host factor	Miquel/Gemma	https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html		
cov099	Berbamine	CN1CCC2=CC(=C3C=C2[C@@H]1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)C[C@@H]6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)O)OC	0	Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx	0	Unknown	Miquel/Gemma	https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html		
cov100	Tetrandine	CN1CCC2=CC(=C3C=C2[C@@H]1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)C[C@H]6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)OC)OC	0	Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx	0	Unknown	Miquel/Gemma	https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html		
cov101	Abemaciclib	CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F	0	Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx	1	Host factor	Miquel/Gemma	https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html		
cov102	Ivacaftor	CC(C)(C)C1=CC(=C(C=C1NC(=O)C2=CNC3=CC=CC=C3C2=O)O)C(C)(C)C	0	Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx	1	Host factor	Miquel/Gemma	https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html		
cov103	Bazedoxifene	CC1=C(N(C2=C1C=C(C=C2)O)CC3=CC=C(C=C3)OCCN4CCCCCC4)C5=CC=C(C=C5)O	0	Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx	0	Unknown	Miquel/Gemma	https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html		
cov104	Eltrombopag	CC1=C(C=C(C=C1)N2C(=O)C(=C(N2)C)N=NC3=CC=CC(=C3O)C4=CC(=CC=C4)C(=O)O)C	0	Preclinical evidence that diminishes SARS-Cov-2 viral load in Vero cells *BioArx	0	Unknown	Miquel/Gemma	https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf+html		
cov105	Tenofovir diphosphate	C[C@H](CN1C=NC2=C(N=CN=C21)N)OCP(=O)(O)OP(=O)(O)OP(=O)(O)O	0	Inhibition of RdRp in polymerase extension experiment *BioArx	4	RNA transcription or replication	Miquel/Gemma	https://www.biorxiv.org/content/10.1101/2020.03.18.997585v1.full.pdf+html		
cov106	Sofosbuvir	C[C@@H](C(=O)OC(C)C)NP(=O)(OC[C@@H]1[C@H]([C@@]([C@@H](O1)N2C=CC(=O)NC2=O)(C)F)O)OC3=CC=CC=C3	0	Inhibition of RdRp in polymerase extension experiment *BioArx	4	RNA transcription or replication	Miquel/Gemma	https://www.biorxiv.org/content/10.1101/2020.03.18.997585v1.full.pdf+html		
cov107	3’-fluoro-3’-deoxythymidine triphosphate (Alovudine)	CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)F	0	Inhibition of RdRp in polymerase extension experiment *BioArx	4	RNA transcription or replication	Miquel/Gemma	https://www.biorxiv.org/content/10.1101/2020.03.18.997585v1.full.pdf+html		
cov108	3’-azido-3’- deoxythymidine triphosphate (AZT-triP)	CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)N=[N+]=[N-]	0	Inhibition of RdRp in polymerase extension experiment *BioArx	4	RNA transcription or replication	Miquel/Gemma	https://www.biorxiv.org/content/10.1101/2020.03.18.997585v1.full.pdf+html		
cov109	Atazanavir	CC(C)(C)[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)[C@H](C(C)(C)C)NC(=O)OC)O)NC(=O)OC	0	None, computational (MoA: inhibitor 3CLp) *BioArx	3	Protease inhibitor	Miquel/Gemma	https://www.biorxiv.org/content/10.1101/2020.01.31.929547v1		
cov110	Efavirenz	C1CC1C#C[C@]2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F	0	None, computational (MoA: inhibitor 3CLp) *BioArx	4	RNA transcription or replication	Miquel/Gemma	https://www.biorxiv.org/content/10.1101/2020.01.31.929547v1		
cov114	arbidol	CCOC(=O)C1=C(N(C2=CC(=C(C(=C21)CN(C)C)O)Br)C)CSC3=CC=CC=C3	0	COVID-19 patients untreated with antiviral previously, favipiravir can be considered as a preferred treatment	2	Viral entry	Martino	https://www.medrxiv.org/content/10.1101/2020.03.17.20037432v1		
cov115	Baricitinib	CCS(=O)(=O)N1CC(C1)(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3	0	affinity AAK-1 binding drug	5	Immunomodulatory	Victor	https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30304-4/fulltext		
cov117	Velpatasvir	CC1CCC(N1C(=O)C(C(C)C)NC(=O)OC)C2=NC3=C(N2)C=CC4=CC5=C(C=C43)OCC6=C5C=CC(=C6)C7=CN=C(N7)C8CC(CN8C(=O)C(C9=CC=CC=C9)NC(=O)OC)COC	0	NS5A inhibtors in HCV found through Virtual Screening	4	RNA transcription or replication	Adria	https://f1000research.com/articles/9-129/v1		
cov118	Ledipasvir	CC(C)C(C(=O)N1CC2(CC2)CC1C3=NC=C(N3)C4=CC5=C(C=C4)C6=C(C5(F)F)C=C(C=C6)C7=CC8=C(C=C7)N=C(N8)C9C1CCC(C1)N9C(=O)C(C(C)C)NC(=O)OC)NC(=O)OC	0	NS5A inhibtors in HCV found through Virtual Screening	4	RNA transcription or replication	Adria	https://f1000research.com/articles/9-129/v1		
cov119	Praziquantel	C1CCC(CC1)C(=O)N2CC3C4=CC=CC=C4CCN3C(=O)C2	0	Papain-like protease inhibitors found by docking using Homology modeling from SARS CoV. Drugs found through VS of FDA aproved drugs.	3	Protease inhibitor	Adria	https://chemrxiv.org/articles/Potential_Inhibitors_Against_Papain-like_Protease_of_Novel_Coronavirus_COVID-19_from_FDA_Approved_Drugs/11860011/2		
cov120	Cinacalcet	CC(C1=CC=CC2=CC=CC=C21)NCCCC3=CC(=CC=C3)C(F)(F)F	0	Papain-like protease inhibitors found by docking using Homology modeling from SARS CoV. Drugs found through VS of FDA aproved drugs.	3	Protease inhibitor	Adria	https://chemrxiv.org/articles/Potential_Inhibitors_Against_Papain-like_Protease_of_Novel_Coronavirus_COVID-19_from_FDA_Approved_Drugs/11860011/3		
cov121	Procainamide	CCN(CC)CCNC(=O)C1=CC=C(C=C1)N	0	Papain-like protease inhibitors found by docking using Homology modeling from SARS CoV. Drugs found through VS of FDA aproved drugs.	3	Protease inhibitor	Adria	https://chemrxiv.org/articles/Potential_Inhibitors_Against_Papain-like_Protease_of_Novel_Coronavirus_COVID-19_from_FDA_Approved_Drugs/11860011/4		
cov122	Terbinafine	CC(C)(C)C#CC=CCN(C)CC1=CC=CC2=CC=CC=C21	0	Papain-like protease inhibitors found by docking using Homology modeling from SARS CoV. Drugs found through VS of FDA aproved drugs.	3	Protease inhibitor	Adria	https://chemrxiv.org/articles/Potential_Inhibitors_Against_Papain-like_Protease_of_Novel_Coronavirus_COVID-19_from_FDA_Approved_Drugs/11860011/5		
cov123	Pethidine	O=C(C1(CCN(CC1)C)C2=CC=CC=C2)OCC	0	Papain-like protease inhibitors found by docking using Homology modeling from SARS CoV. Drugs found through VS of FDA aproved drugs.	3	Protease inhibitor	Adria	https://chemrxiv.org/articles/Potential_Inhibitors_Against_Papain-like_Protease_of_Novel_Coronavirus_COVID-19_from_FDA_Approved_Drugs/11860011/6		
cov124	Labetalol	CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O	0	Papain-like protease inhibitors found by docking using Homology modeling from SARS CoV. Drugs found through VS of FDA aproved drugs.	3	Protease inhibitor	Adria	https://chemrxiv.org/articles/Potential_Inhibitors_Against_Papain-like_Protease_of_Novel_Coronavirus_COVID-19_from_FDA_Approved_Drugs/11860011/7		
cov125	Tetrahydrozoline	C1CC(C2=CC=CC=C2C1)C3=NCCN3	0	Papain-like protease inhibitors found by docking using Homology modeling from SARS CoV. Drugs found through VS of FDA aproved drugs.	3	Protease inhibitor	Adria	https://chemrxiv.org/articles/Potential_Inhibitors_Against_Papain-like_Protease_of_Novel_Coronavirus_COVID-19_from_FDA_Approved_Drugs/11860011/8		
cov126	Ticlopidine	C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl	0	Papain-like protease inhibitors found by docking using Homology modeling from SARS CoV. Drugs found through VS of FDA aproved drugs.	3	Protease inhibitor	Adria	https://chemrxiv.org/articles/Potential_Inhibitors_Against_Papain-like_Protease_of_Novel_Coronavirus_COVID-19_from_FDA_Approved_Drugs/11860011/9		
cov127	Ethoheptazine	CCOC(=O)C1(CCCN(C)CC1)C1=CC=CC=C1	0	Papain-like protease inhibitors found by docking using Homology modeling from SARS CoV. Drugs found through VS of FDA aproved drugs.	3	Protease inhibitor	Adria	https://chemrxiv.org/articles/Potential_Inhibitors_Against_Papain-like_Protease_of_Novel_Coronavirus_COVID-19_from_FDA_Approved_Drugs/11860011/10		
cov128	Levamisole	C1CN2C[C@@H](N=C2S1)C1=CC=CC=C1	0	Papain-like protease inhibitors found by docking using Homology modeling from SARS CoV. Drugs found through VS of FDA aproved drugs.	3	Protease inhibitor	Adria	https://chemrxiv.org/articles/Potential_Inhibitors_Against_Papain-like_Protease_of_Novel_Coronavirus_COVID-19_from_FDA_Approved_Drugs/11860011/11		
cov129	Amitriptyline	CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31	0	Papain-like protease inhibitors found by docking using Homology modeling from SARS CoV. Drugs found through VS of FDA aproved drugs.	3	Protease inhibitor	Adria	https://chemrxiv.org/articles/Potential_Inhibitors_Against_Papain-like_Protease_of_Novel_Coronavirus_COVID-19_from_FDA_Approved_Drugs/11860011/12		
cov130	Naphazoline	C1CN=C(N1)CC2=CC=CC3=CC=CC=C32	0	Papain-like protease inhibitors found by docking using Homology modeling from SARS CoV. Drugs found through VS of FDA aproved drugs.	3	Protease inhibitor	Adria	https://chemrxiv.org/articles/Potential_Inhibitors_Against_Papain-like_Protease_of_Novel_Coronavirus_COVID-19_from_FDA_Approved_Drugs/11860011/13		
cov131	Formoterol	CC(CC1=CC=C(C=C1)OC)NCC(C2=CC(=C(C=C2)O)NC=O)O	0	Papain-like protease inhibitors found by docking using Homology modeling from SARS CoV. Drugs found through VS of FDA aproved drugs.	3	Protease inhibitor	Adria	https://chemrxiv.org/articles/Potential_Inhibitors_Against_Papain-like_Protease_of_Novel_Coronavirus_COVID-19_from_FDA_Approved_Drugs/11860011/14		
cov132	Benzylpenicillin	CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)Cc3ccccc3)C(=O)O)C	0	Papain-like protease inhibitors found by docking using Homology modeling from SARS CoV. Drugs found through VS of FDA aproved drugs.	3	Protease inhibitor	Adria	https://chemrxiv.org/articles/Potential_Inhibitors_Against_Papain-like_Protease_of_Novel_Coronavirus_COVID-19_from_FDA_Approved_Drugs/11860011/15		
cov133	Chloroquine	CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl	0	Papain-like protease inhibitors found by docking using Homology modeling from SARS CoV. Drugs found through VS of FDA aproved drugs.	3	Protease inhibitor	Adria	https://chemrxiv.org/articles/Potential_Inhibitors_Against_Papain-like_Protease_of_Novel_Coronavirus_COVID-19_from_FDA_Approved_Drugs/11860011/16		
cov134	Chlorothiazide	C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2	0	Papain-like protease inhibitors found by docking using Homology modeling from SARS CoV. Drugs found through VS of FDA aproved drugs.	3	Protease inhibitor	Adria	https://chemrxiv.org/articles/Potential_Inhibitors_Against_Papain-like_Protease_of_Novel_Coronavirus_COVID-19_from_FDA_Approved_Drugs/11860011/17		
cov135	Indinavir	CC(C)(C)NC(=O)C1CN(CCN1CC(CC(CC2=CC=CC=C2)C(=O)NC3C(CC4=CC=CC=C34)O)O)CC5=CN=CC=C5	0	Mpro (Viral Main proteinase) inhibitors found though VS + Enzimolgy tests 	3	Protease inhibitor	Adria	https://www.jstage.jst.go.jp/article/ddt/14/1/14_2020.01012/_pdf/-char/en		
cov136	Saquinavir	CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(C(CC3=CC=CC=C3)NC(=O)C(CC(=O)N)NC(=O)C4=NC5=CC=CC=C5C=C4)O	0	Mpro (Viral Main proteinase) inhibitors found though VS + Enzimolgy tests 	3	Protease inhibitor	Adria	https://www.jstage.jst.go.jp/article/ddt/14/1/14_2020.01012/_pdf/-char/en		
cov137	Lopinavir	CC1=C(C(=CC=C1)C)OCC(=O)NC(CC2=CC=CC=C2)C(CC(CC3=CC=CC=C3)NC(=O)C(C(C)C)N4CCCNC4=O)O	0	Mpro (Viral Main proteinase) inhibitors found though VS + Enzimolgy tests 	3	Protease inhibitor	Adria	https://www.jstage.jst.go.jp/article/ddt/14/1/14_2020.01012/_pdf/-char/en		
cov138	Carfilzomib	CC(C)CC(C(=O)C1(CO1)C)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC(C)C)NC(=O)C(CCC3=CC=CC=C3)NC(=O)CN4CCOCC4	0	Mpro (Viral Main proteinase) inhibitors found though VS + Enzimolgy tests 	1	Host factor	Adria	https://www.jstage.jst.go.jp/article/ddt/14/1/14_2020.01012/_pdf/-char/en		
